,id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,backdrop_path,genre_names,year,profit
13184,788752,Vikingulven,Viking Wolf,no,"Thale (17) has just moved with her parents to a small town after her mother has a new job in the local police. After a student is killed brutally at a party Thale attends, she becomes a key witness.",All werewolves have a story. This is the Norwegian one,2022-11-18,/mZMG7Rfubn6xIysmv4TC71Rr0KK.jpg,3.648,0,0.0,0,0,97,Post Production,/fsYiZ6wFSfQAYJTwOjBlvWe15VJ.jpg,Horror,2022,0
13186,811061,So Cold the River,So Cold the River,en,A documentary filmmaker's research on a town's mysterious benefactor unearths an unexplained evil while staying at a local resort.,Some pasts won't let go.,2022-03-25,/dhnFKLefUEFTq35XGM6GpKUyi4D.jpg,3.648,10,3.7,0,0,93,Released,/mk9LcqxSPVxvquFhQYg8vRhC1zM.jpg,Horror,2022,0
13200,678945,Unearth,Unearth,en,"The relationship between two neighboring farm families are strained when one of them chooses to lease their land to an oil and gas company. In the midst of growing tension, the land is drilled, and something long dormant and terrifying, deep beneath the earth's surface is released. ""Unearth"" is about the horrifying repercussions sown by short-sighted decisions, and what our children reap from our actions.",A fracking horror story,2020-08-25,/nu9tWRJOR9Vgr6nHbBRLHnF3u94.jpg,3.645,16,4.4,0,0,94,Released,/awcJjnRKtqka1mJsZAM19mxpLhL.jpg,Horror,2020,0
13233,199788,Omnívoros,Omnivores,en,Marcos Vela is a prestigious gastronomic journalist who accepts the request of an independent publisher to write an article on the recent emergence of the Clandestine Restaurants.,El mayor horror imaginable se encuentra tras las apariencias,2013-09-10,/dzWVdOTesv7FJOGMzH8Jsv0cdgl.jpg,3.636,29,5.4,0,0,90,Released,/y6bQBqLWfVGWS0aUFEhhjug3USZ.jpg,Horror,2013,0
13253,295339,The Haunting of Alice D,The Haunting of Alice D,en,"In the late 1890s the Davenport House was a famous and successful brothel, until a young prostitute named Alice killed herself there. After her death, the brothel became haunted by Alice's ghost, and was eventually abandoned. More than a century later, the old structure is renovated into a beautiful mansion. It is still rumored to inhabit the ghost of Alice. Despite this, the new owner; the rich and arrogant heir to the Davenport fortune, decides to throw a wild party for his first night in the house.",You don't own her anymore.,2014-09-27,/1jQBqXdKT4wTgM6QvJTJSAkwGhN.jpg,3.63,14,6.0,0,0,85,Released,/bQqoPPuc2JO9HHORPUL31zlMFfx.jpg,Horror,2014,0
13269,273645,맨홀,Manhole,ko,A young girl is kidnapped by a serial killer. The serial killer uses manholes to kidnap and kill his victims. The young girl's older sister tries to save her before it's too late.,People Are Vanishing Down.,2014-10-08,/h1mDaWeB9Z1h8KsUUji7CR02yik.jpg,3.623,38,5.7,0,0,101,Released,/5r96A1HPR5d0psDaDsBTcf0tQDu.jpg,Horror,2014,0
13283,516834,Mrs. Claus,Mrs. Claus,en,Students attending a Christmas party at a sorority house with a sinister past are stalked by a bloodthirsty killer disguised as Mrs. Claus.,You won't be going home for Christmas!,2018-05-04,/t2FvsFuAzzdLpuIG4crc213ZEg4.jpg,3.621,15,5.3,10000,0,86,Released,/cWn8VtOvi8Dy5PxvgBSSuwSwuqp.jpg,Horror,2018,-10000
13284,918356,Fallen,Fallen,en,"Tragedy struck when Father Abraham was ready to save the world from an evil menace using exorcism. Years later, he lives on a remote farm with his daughter, haunted by the faces of those he saved and those he could not. After finding that pale humanoid creature lurking in the woods, he shoots and cremates the monster. But he soon discovers that the beast was not alone; his troubles have only begun.",We all have our demons.,2022-02-22,/uhuJcLVRf87aDfd3dqa9zafEek7.jpg,3.621,6,4.2,0,0,84,Released,/cpwgMxhx1N7jJpDDBQ6X1Wabee2.jpg,Horror,2022,0
13304,523519,Anonymous 616,Anonymous 616,en,A reunion between two couples becomes a massacre when one of the guests meets an anonymous person online and willingly becomes a participant on a bloody path to becoming God-like.,I'm the one who knows everything about U,2018-04-17,/oNABCS3tOQBprfJqhYU1nUbcGkX.jpg,3.611,22,4.7,0,0,80,Released,/5UaANddcbWFvFlikG9wpn1ZmKXr.jpg,Horror,2018,0
13332,339992,The Redwood Massacre,The Redwood Massacre,en,"​‘THE REDWOOD MASSACRE’ is about five adventurous friends, visiting the legendary murder site of Redwood. It has all the hallmarks of being an exciting and thrilling camping weekend away.  They soon discover they’re not the only people in the mysterious location. The fun camping expedition soon turns into a nightmare as they are sadistically stalked by a mysterious unseen killer.",Evil Doesn't Die Easily,2014-09-28,/tzMrAlzURdxRD0wpai3zTPozKAn.jpg,3.599,47,4.2,156660,0,82,Released,/56MalHpH8ite1gRZzIzSUI5gaTQ.jpg,Horror,2014,-156660
